Career_ID,Soft_Skill_ID
CR_1,SS_1
CR_1,SS_2
CR_1,SS_3
CR_1,SS_4
CR_1,SS_5
CR_1,SS_6
CR_1,SS_11
CR_2,SS_1
CR_2,SS_2
CR_2,SS_7
CR_2,SS_8
CR_2,SS_9
CR_2,SS_10
CR_2,SS_11
CR_2,SS_16
CR_3,SS_1
CR_3,SS_2
CR_3,SS_7
CR_3,SS_8
CR_3,SS_10
CR_3,SS_11
CR_3,SS_12
CR_3,SS_13
CR_3,SS_14
CR_3,SS_15
CR_3,SS_16
CR_4,SS_7
CR_4,SS_8
CR_4,SS_9
CR_4,SS_10
CR_4,SS_11
CR_4,SS_17
CR_4,SS_18
CR_4,SS_19
CR_5,SS_7
CR_5,SS_8
CR_5,SS_11
CR_5,SS_12
CR_5,SS_15
CR_5,SS_17
CR_6,SS_1
CR_6,SS_7
CR_6,SS_8
CR_6,SS_9
CR_6,SS_10
CR_6,SS_11
CR_6,SS_15
CR_6,SS_18
CR_6,SS_20
CR_7,SS_2
CR_7,SS_7
CR_7,SS_8
CR_7,SS_9
CR_7,SS_10
CR_7,SS_11
CR_7,SS_17
CR_7,SS_19
CR_8,SS_2
CR_8,SS_7
CR_8,SS_8
CR_8,SS_9
CR_8,SS_10
CR_8,SS_11
CR_8,SS_17
CR_8,SS_18
CR_8,SS_21
CR_9,SS_2
CR_9,SS_7
CR_9,SS_8
CR_9,SS_9
CR_9,SS_10
CR_9,SS_11
CR_9,SS_18
CR_10,SS_7
CR_10,SS_8
CR_10,SS_9
CR_10,SS_11
CR_10,SS_18
