Course_Name,score
"""Business Data Analytics (IIBA®-CBDA Exam preparation)""",0.2775
"""Chinese language for beginners : Mandarin Chinese HSK1-HSK3""",0.2775
"""Complete Japanese Course: Learn Japanese for Beginners""",0.2775
"""Complete Korean Course: Learn Korean for Beginners""",0.2775
"""Complete Portuguese Course: Portuguese for Beginners""",0.2775
"""Introducing Microsoft Dynamics 365""",0.2775
"""Master Microsoft Outlook - Outlook from Beginner to Advanced""",0.2775
"""Presentation Skills: Master Confident Presentation""",0.2775
"""Professional Diploma in Office Administration Management""",0.2775
"""Professional in Human Resources (PHR/SPHR HRCI)""",0.2775
"""Proficient in Facebook marketing""",0.2775
"""SAP for Beginners course | SAP ERP with practice""",0.2775
"""Successful Negotiation: Master Your Negotiating Skill""",0.2775
"""The Complete French Course : Learn French - Beginners""",0.2775
"""The Complete Sales Skills Master Class - Sales Marketing B2B""",0.2775
"""Complete English Course: Master English Beginner to Advanced""",0.15000000000000002
"""Customer Service Mastery: Delight Every Customer""",0.15000000000000002
"""Fundamentals of Administrative Professional""",0.15000000000000002
"""Master your Decision-Making and Critical Thinking Skills""",0.15000000000000002
"""Productivity and Time Management for the Overwhelmed""",0.15000000000000002
"""Social Media Film School: TikTok, Instagram, YouTube & AI""",0.15000000000000002
"""The Complete Communication Skills Master Class for Life""",0.15000000000000002
"""The Project Management Course: Beginner to Project Manager""",0.15000000000000002
"""Ultimate Microsoft Office; Excel, Word, PowerPoint""",0.15000000000000002
null,0.15000000000000002
