Course_ID,Language_ID
CS_1,LG_1
CS_1,LG_3
CS_2,LG_1
CS_2,LG_7
CS_4,LG_1
CS_4,LG_4
CS_7,LG_1
CS_7,LG_10
CS_8,LG_1
CS_8,LG_9
CS_8,LG_10
CS_10,LG_1
CS_10,LG_6
CS_11,LG_1
CS_11,LG_3
CS_12,LG_1
CS_12,LG_4
CS_12,LG_5
CS_14,LG_1
CS_15,LG_1
CS_15,LG_2
CS_15,LG_3
CS_15,LG_4
CS_15,LG_6
CS_15,LG_7
CS_17,LG_1
CS_18,LG_1
CS_19,LG_1
CS_20,LG_1
CS_20,LG_7
CS_22,LG_1
CS_23,LG_1
CS_24,LG_1
CS_24,LG_9
CS_24,LG_10
CS_25,LG_1
CS_35,LG_1
CS_36,LG_1
CS_37,LG_1
CS_38,LG_1
CS_39,LG_1
CS_40,LG_1
CS_42,LG_1
CS_43,LG_1
CS_44,LG_1
CS_44,LG_2
CS_44,LG_6
CS_44,LG_7
CS_47,LG_1
